	Game_id	Person_id	PSc	PAg	Possessions	ORTG	DRTG
143	096e231adad0be6ab1cc89cce56847f8	48ec4e6c52f418d5ca4ef510ba473ea0	79	85	113	0.6991150442477876	0.7522123893805309
144	096e231adad0be6ab1cc89cce56847f8	e816ff284dc3f965b8f3d605a3b91bae	4	5	6	0.6666666666666666	0.8333333333333334
145	096e231adad0be6ab1cc89cce56847f8	ed95dff5440fadf3042b5acacea81eed	0	0	0		
146	096e231adad0be6ab1cc89cce56847f8	616281dee946056b071699476fdee9ec	69	74	96	0.71875	0.7708333333333334
147	096e231adad0be6ab1cc89cce56847f8	e814950408915f43de2b079dce7c21c5	79	97	119	0.6638655462184874	0.8151260504201681
148	096e231adad0be6ab1cc89cce56847f8	2ad626904c8b28cceb8e12c624a84240	39	31	52	0.75	0.5961538461538461
149	096e231adad0be6ab1cc89cce56847f8	bd45fe7dba52aa2cd00ba80ff107d05b	0	0	0		
150	096e231adad0be6ab1cc89cce56847f8	766802a8fda500d7945950de7398c9c6	89	79	116	0.7672413793103449	0.6810344827586207
151	096e231adad0be6ab1cc89cce56847f8	99104de2626f67c1fa2ce70504970c3f	61	63	79	0.7721518987341772	0.7974683544303798
152	096e231adad0be6ab1cc89cce56847f8	42e0d7167f04a4ff958c6442da0e6851	44	38	53	0.8301886792452831	0.7169811320754716
153	096e231adad0be6ab1cc89cce56847f8	c5dd5b2e3b975f0849d9b74e74125cb9	104	84	128	0.8125	0.65625
154	096e231adad0be6ab1cc89cce56847f8	5db9c1c8184510fee8161e7fafdc9c49	12	12	16	0.75	0.75
155	096e231adad0be6ab1cc89cce56847f8	f4a5ca938177c407a9dab5412e39498f	76	62	100	0.76	0.62
156	096e231adad0be6ab1cc89cce56847f8	1b37fed4823f31ccbf03515f4b9fe438	21	21	32	0.65625	0.65625
157	096e231adad0be6ab1cc89cce56847f8	c10b49616a2f4a23607dc1a8be4fde9f	75	66	95	0.7894736842105263	0.6947368421052632
158	096e231adad0be6ab1cc89cce56847f8	d00d552bc4e50f63f9397a74514519ba	8	15	16	0.5	0.9375
159	096e231adad0be6ab1cc89cce56847f8	dd1da128c27db468d95b99b583f8a57d	4	5	6	0.6666666666666666	0.8333333333333334
160	096e231adad0be6ab1cc89cce56847f8	4ef3dae16c436459ff05156abca5cebd	35	48	62	0.5645161290322581	0.7741935483870968
161	096e231adad0be6ab1cc89cce56847f8	618f6d58ab2881152607c2a6e057bc51	62	49	83	0.7469879518072289	0.5903614457831325
162	096e231adad0be6ab1cc89cce56847f8	902362537ff2a39c0c0cfb82ab0adac2	13	14	18	0.7222222222222222	0.7777777777777778
163	096e231adad0be6ab1cc89cce56847f8	e59b921ab3da55f632bc748beb12805a	0	0	0		
164	096e231adad0be6ab1cc89cce56847f8	4413c19cf092bda39332d7833c90bfe6	18	27	35	0.5142857142857142	0.7714285714285715
165	096e231adad0be6ab1cc89cce56847f8	bf6ed471f8425903310f08548a206905	0	0	0		
166	096e231adad0be6ab1cc89cce56847f8	5cce6ffa455e6372d9de0de400482ab6	32	40	53	0.6037735849056604	0.7547169811320755
167	096e231adad0be6ab1cc89cce56847f8	4dd3d6a51dc97c651d3a86eec4362a1f	0	0	0		
168	096e231adad0be6ab1cc89cce56847f8	7027df5d9c51192f3527ac8c74b4d08d	0	0	0		
169	096e231adad0be6ab1cc89cce56847f8	d81d912f81fa43178f423aa89a713e96	63	68	83	0.7590361445783133	0.8192771084337349
210	117a5a71c34c2d8a39ff66d884462bd7	5a634567f5022bf46e1c990096fceb9f	0	0	0		
211	117a5a71c34c2d8a39ff66d884462bd7	59c61598abe68e36e2a0f6b24f5344a9	7	12	15	0.4666666666666667	0.8
212	117a5a71c34c2d8a39ff66d884462bd7	ade82b71d52bf8ebd00f724b25c87e95	69	79	106	0.6509433962264151	0.7452830188679245
213	117a5a71c34c2d8a39ff66d884462bd7	7a1c1f680a11456d505f05fa70712213	84	87	130	0.6461538461538462	0.6692307692307692
214	117a5a71c34c2d8a39ff66d884462bd7	ffc3716da11461d5337f42c2e9590797	20	31	38	0.5263157894736842	0.8157894736842105
215	117a5a71c34c2d8a39ff66d884462bd7	c4d3f5f09856d59a1ebd1618e137dc57	0	0	0		
216	117a5a71c34c2d8a39ff66d884462bd7	16d76c912992709c8be29b896b8f9417	75	71	108	0.6944444444444444	0.6574074074074074
217	117a5a71c34c2d8a39ff66d884462bd7	71646c64f62c2748740c45b469e0d611	77	86	125	0.616	0.688
218	117a5a71c34c2d8a39ff66d884462bd7	758bfe4f98e1d0fc26ef37ef7f9688e4	22	21	31	0.7096774193548387	0.6774193548387096
219	117a5a71c34c2d8a39ff66d884462bd7	cf76849b2d40cd089fa8fe823846b717	32	42	59	0.5423728813559322	0.711864406779661
220	117a5a71c34c2d8a39ff66d884462bd7	2ffe19dc39838eaa55a52d7b2fbd687c	84	84	126	0.6666666666666666	0.6666666666666666
221	117a5a71c34c2d8a39ff66d884462bd7	a05b7a85a87b3c7789bf03ec6de8a132	0	0	0		
222	117a5a71c34c2d8a39ff66d884462bd7	6fd2a56d4457a4617bc4931d6c9f3f31	0	0	0		
223	117a5a71c34c2d8a39ff66d884462bd7	ec1701b0740d49558c0e4292fbcf5d28	60	53	73	0.821917808219178	0.726027397260274
224	117a5a71c34c2d8a39ff66d884462bd7	0e35575a0624318cc691947fe700df94	0	0	0		
225	117a5a71c34c2d8a39ff66d884462bd7	355440241677831feb31321e4f47389c	60	54	82	0.7317073170731707	0.6585365853658537
226	117a5a71c34c2d8a39ff66d884462bd7	fe4fc80aa14544264b2eca38dbe85bd1	83	70	120	0.6916666666666667	0.5833333333333334
227	117a5a71c34c2d8a39ff66d884462bd7	5254f09164f6bcfba80a12e595ca4724	81	82	126	0.6428571428571429	0.6507936507936508
228	117a5a71c34c2d8a39ff66d884462bd7	545561642487bf6991898bd62e9c3172	19	21	34	0.5588235294117647	0.6176470588235294
229	117a5a71c34c2d8a39ff66d884462bd7	fde04f931b1efe670ec01ec59424cd20	43	33	65	0.6615384615384615	0.5076923076923077
230	117a5a71c34c2d8a39ff66d884462bd7	682ee02d38c947defb4cf5e30fba6f96	70	67	97	0.7216494845360825	0.6907216494845361
231	117a5a71c34c2d8a39ff66d884462bd7	745fd2a3e78aaceb805e7bc19cf5f126	0	0	0		
232	117a5a71c34c2d8a39ff66d884462bd7	f85a47779c423d73ea3b2aa48c54ff8b	78	81	121	0.6446280991735537	0.6694214876033058
233	117a5a71c34c2d8a39ff66d884462bd7	093587100e2037b5dec3199d77b35e8b	0	0	0		
234	117a5a71c34c2d8a39ff66d884462bd7	ce84530bdb8f4a9e7cf97e14d536b8a0	65	68	93	0.6989247311827957	0.7311827956989247
235	117a5a71c34c2d8a39ff66d884462bd7	24e7fa348c6b922fe075358bdabc0b29	0	0	0		
236	117a5a71c34c2d8a39ff66d884462bd7	d1159a16ddc833d8787756a5b90b9141	0	0	0		
237	117a5a71c34c2d8a39ff66d884462bd7	59fa10b4c9f3cd3cf1048a41966fe24e	91	78	121	0.7520661157024794	0.6446280991735537
238	117a5a71c34c2d8a39ff66d884462bd7	68b4e768ed5b52bf2d2f882ebd051c66	0	0	0		
239	117a5a71c34c2d8a39ff66d884462bd7	3d784b11288b827cbd97d6dbcd6602ec	0	0	0		
280	1ea0a33aafb4a3cb31ba79cff049300c	ad1c818605d80c2d6aeabf60426e94a9	0	0	0		
281	1ea0a33aafb4a3cb31ba79cff049300c	7dfbb5980c066844384ba7424aceae47	94	78	122	0.7704918032786885	0.639344262295082
282	1ea0a33aafb4a3cb31ba79cff049300c	7ad61d685fab533836df6c4605db1ac2	0	0	0		
283	1ea0a33aafb4a3cb31ba79cff049300c	ff52c317e26534ae1679da3c917e9fec	89	77	115	0.7739130434782608	0.6695652173913044
284	1ea0a33aafb4a3cb31ba79cff049300c	f562f72f83b8e06b60ff184531b07056	42	58	72	0.5833333333333334	0.8055555555555556
285	1ea0a33aafb4a3cb31ba79cff049300c	25b9943b95a816346c06eae76c78a593	0	0	0		
286	1ea0a33aafb4a3cb31ba79cff049300c	23fbda7c31efd6cfa21e3ab6c89d53f3	72	91	115	0.6260869565217392	0.7913043478260869
287	1ea0a33aafb4a3cb31ba79cff049300c	bcf50b1e35f187b7c5bc18090cdfb7f6	47	44	59	0.7966101694915254	0.7457627118644068
288	1ea0a33aafb4a3cb31ba79cff049300c	ef232aca3c330ff4f84215374638d026	0	0	0		
289	1ea0a33aafb4a3cb31ba79cff049300c	11beb0ae23e6425510297a31fa21881e	96	78	120	0.8	0.65
290	1ea0a33aafb4a3cb31ba79cff049300c	1177a5cdd245dc40c6c39bac4df89ce3	0	0	0		
291	1ea0a33aafb4a3cb31ba79cff049300c	6ad10958a1d4920dccb1daec39bebd6b	78	61	100	0.78	0.61
292	1ea0a33aafb4a3cb31ba79cff049300c	83c15c0962941640faab838a8f6f151d	95	85	127	0.7480314960629921	0.6692913385826772
293	1ea0a33aafb4a3cb31ba79cff049300c	0a700ecf0eb76559949f1cb5b69a540b	86	91	124	0.6935483870967742	0.7338709677419355
294	1ea0a33aafb4a3cb31ba79cff049300c	9b6e807cc4c750b9f118126e87064522	0	0	0		
295	1ea0a33aafb4a3cb31ba79cff049300c	6725198e0d39aa5b4cbe7b65265ce287	60	50	72	0.8333333333333334	0.6944444444444444
296	1ea0a33aafb4a3cb31ba79cff049300c	a3bac86ad549b2f128a62399d73d6299	30	35	43	0.6976744186046512	0.813953488372093
297	1ea0a33aafb4a3cb31ba79cff049300c	2c447ab0a100cb50766552b0f6fadc2d	80	96	122	0.6557377049180327	0.7868852459016393
298	1ea0a33aafb4a3cb31ba79cff049300c	41c0674725d4cddab004649e9db5a3ce	30	40	43	0.6976744186046512	0.9302325581395349
299	1ea0a33aafb4a3cb31ba79cff049300c	90ba0d1de241290df2e124a5e02d68ef	35	46	51	0.6862745098039216	0.9019607843137255
300	1ea0a33aafb4a3cb31ba79cff049300c	1781491ce70efa8b357e255e07299f8c	0	0	0		
301	1ea0a33aafb4a3cb31ba79cff049300c	1c5bebebc83437eca5ef0aaf6eabb15a	34	40	54	0.6296296296296297	0.7407407407407407
302	1ea0a33aafb4a3cb31ba79cff049300c	ce3ac26d43af7aa5555535cfed3f48cc	44	40	56	0.7857142857142857	0.7142857142857143
303	1ea0a33aafb4a3cb31ba79cff049300c	bbe5cb93ef483ea31d950f6c634837dc	0	3	2	0.0	1.5
304	1ea0a33aafb4a3cb31ba79cff049300c	1f568a2342e4c375873d49a15e2d4448	8	10	9	0.8888888888888888	1.1111111111111112
305	1ea0a33aafb4a3cb31ba79cff049300c	724b933e9d3762a78354b89759d0d19f	0	0	0		
306	1ea0a33aafb4a3cb31ba79cff049300c	69c02fbc5211dd22186fa1b43e3c71b3	0	0	0		
307	1ea0a33aafb4a3cb31ba79cff049300c	687b541bdc76b92b085fc1304f5c1bf1	45	42	54	0.8333333333333334	0.7777777777777778
308	1ea0a33aafb4a3cb31ba79cff049300c	31f28da997f1ed51f0f688b9d004b269	0	0	0		
309	1ea0a33aafb4a3cb31ba79cff049300c	320f545028c6d47de639c3eb262476de	0	0	0		
350	1ef70f0ed41e6862e3860613e3f21054	fb64ca4b8beaf4c4c6e4575fe2f3abd7	87	79	129	0.6744186046511628	0.6124031007751938
351	1ef70f0ed41e6862e3860613e3f21054	f3d6e924c2736c9e5771b0784e31c2df	0	0	0		
352	1ef70f0ed41e6862e3860613e3f21054	32c044aa84d75ccd78c3c9f2aeb33bd9	33	38	48	0.6875	0.7916666666666666
353	1ef70f0ed41e6862e3860613e3f21054	7f438c18058290903c46dfe9d71bd68a	78	64	114	0.6842105263157895	0.5614035087719298
354	1ef70f0ed41e6862e3860613e3f21054	8c7a7249d80b1489594b3a2a87f3f19d	0	0	0		
355	1ef70f0ed41e6862e3860613e3f21054	95c8abc40fb4ecf4fa5627975450dc95	70	73	111	0.6306306306306306	0.6576576576576577
356	1ef70f0ed41e6862e3860613e3f21054	1dabb767e07d0aa702ee58d41c15eab1	73	65	111	0.6576576576576577	0.5855855855855856
357	1ef70f0ed41e6862e3860613e3f21054	95920e4bf5b6c15ba8dffbf959b38ba5	0	0	0		
358	1ef70f0ed41e6862e3860613e3f21054	722a380c9b59ef42226e8d392824dcb9	72	48	102	0.7058823529411765	0.47058823529411764
359	1ef70f0ed41e6862e3860613e3f21054	cbcdba92e7ebacd9418f0bf29a6f6d13	0	0	0		
360	1ef70f0ed41e6862e3860613e3f21054	fa9ea3ddb13b576d0a7db1b23842c00e	0	0	0		
361	1ef70f0ed41e6862e3860613e3f21054	1ddd9c3d32c6f8245158a15b58b38992	0	0	0		
362	1ef70f0ed41e6862e3860613e3f21054	ef8b068ab7ac9d387b256404acd24cd5	63	51	92	0.6847826086956522	0.5543478260869565
363	1ef70f0ed41e6862e3860613e3f21054	9cf34a85700c146eaf259ed7a818ad63	61	60	94	0.648936170212766	0.6382978723404256
364	1ef70f0ed41e6862e3860613e3f21054	b265ffd84dbeef427136d140811e7d5f	24	29	43	0.5581395348837209	0.6744186046511628
365	1ef70f0ed41e6862e3860613e3f21054	387ed8d45a1786fa72e95732df2dac4f	0	0	0		
366	1ef70f0ed41e6862e3860613e3f21054	e49b2cc3f9aacd500b11a35b1c57112d	15	28	26	0.5769230769230769	1.0769230769230769
367	1ef70f0ed41e6862e3860613e3f21054	36fdadf436b164ee29174c8e1fde7271	0	0	0		
368	1ef70f0ed41e6862e3860613e3f21054	fe8aca56ad93b72526d622348b190ec3	58	57	91	0.6373626373626373	0.6263736263736264
369	1ef70f0ed41e6862e3860613e3f21054	3007e387a7d41a704390cb5878271b9a	59	66	93	0.6344086021505376	0.7096774193548387
370	1ef70f0ed41e6862e3860613e3f21054	942a84f05f4ab956125f68ec0963481f	14	22	23	0.6086956521739131	0.9565217391304348
371	1ef70f0ed41e6862e3860613e3f21054	c950aaad2e56c87e9ac7281016d37cb6	0	0	0		
372	1ef70f0ed41e6862e3860613e3f21054	324b2f11b1cd08156cceb7206ef69820	61	71	103	0.5922330097087378	0.6893203883495146
373	1ef70f0ed41e6862e3860613e3f21054	619d3e44dc84b366bd685de3e94b3bec	0	0	0		
374	1ef70f0ed41e6862e3860613e3f21054	4cf82b670bd014fbd6b99ca1ffa25a4f	0	0	0		
375	1ef70f0ed41e6862e3860613e3f21054	89c519190d06b39ae85634965daafa5c	0	0	0		
376	1ef70f0ed41e6862e3860613e3f21054	18a823379f2bf4e4be8b419698cde91c	0	0	0		
377	1ef70f0ed41e6862e3860613e3f21054	cf81e3b197158f3ddedae95005aa9859	62	79	110	0.5636363636363636	0.7181818181818181
378	1ef70f0ed41e6862e3860613e3f21054	eeaac18e3ac23a64e844e9686189d005	0	0	0		
379	1ef70f0ed41e6862e3860613e3f21054	769cf4fe28af6cafc5887879e7f7f40f	0	0	0		
420	25a5ddd58e1b7af731e179e2f98ed42f	bce6c859f6e409e45c3665c11e202ca9	62	57	91	0.6813186813186813	0.6263736263736264
421	25a5ddd58e1b7af731e179e2f98ed42f	5a634567f5022bf46e1c990096fceb9f	4	4	10	0.4	0.4
422	25a5ddd58e1b7af731e179e2f98ed42f	59c61598abe68e36e2a0f6b24f5344a9	45	26	48	0.9375	0.5416666666666666
423	25a5ddd58e1b7af731e179e2f98ed42f	ade82b71d52bf8ebd00f724b25c87e95	80	59	100	0.8	0.59
424	25a5ddd58e1b7af731e179e2f98ed42f	7a1c1f680a11456d505f05fa70712213	84	70	115	0.7304347826086957	0.6086956521739131
425	25a5ddd58e1b7af731e179e2f98ed42f	ffc3716da11461d5337f42c2e9590797	43	45	64	0.671875	0.703125
426	25a5ddd58e1b7af731e179e2f98ed42f	16d76c912992709c8be29b896b8f9417	69	44	78	0.8846153846153846	0.5641025641025641
427	25a5ddd58e1b7af731e179e2f98ed42f	053f6b9f70bbc1116e3af3c8a2ecdbe6	4	4	10	0.4	0.4
428	25a5ddd58e1b7af731e179e2f98ed42f	e51630054008b5867f9fe3e04d1dd016	83	78	114	0.7280701754385965	0.6842105263157895
429	25a5ddd58e1b7af731e179e2f98ed42f	71646c64f62c2748740c45b469e0d611	74	73	103	0.7184466019417476	0.7087378640776699
430	25a5ddd58e1b7af731e179e2f98ed42f	758bfe4f98e1d0fc26ef37ef7f9688e4	38	41	57	0.6666666666666666	0.7192982456140351
431	25a5ddd58e1b7af731e179e2f98ed42f	cf76849b2d40cd089fa8fe823846b717	0	0	0		
432	25a5ddd58e1b7af731e179e2f98ed42f	2ffe19dc39838eaa55a52d7b2fbd687c	80	60	99	0.8080808080808081	0.6060606060606061
433	25a5ddd58e1b7af731e179e2f98ed42f	f1970daaab6bd4c23edea9c6e4305b12	49	76	86	0.5697674418604651	0.8837209302325582
434	25a5ddd58e1b7af731e179e2f98ed42f	3fa713b9a00c76b7b09419786eaf79e0	27	50	52	0.5192307692307693	0.9615384615384616
435	25a5ddd58e1b7af731e179e2f98ed42f	49399a850e5eedd6953e506218ebd4b2	0	0	0		
436	25a5ddd58e1b7af731e179e2f98ed42f	5b0d8dd8f942cf81c88a4ab317b20fc5	42	34	62	0.6774193548387096	0.5483870967741935
437	25a5ddd58e1b7af731e179e2f98ed42f	2d4ae904a46dd8141197a4bdbcbcebea	78	92	123	0.6341463414634146	0.7479674796747967
438	25a5ddd58e1b7af731e179e2f98ed42f	661390debadbc4b6d53f7d1883cdd279	28	34	47	0.5957446808510638	0.723404255319149
439	25a5ddd58e1b7af731e179e2f98ed42f	86f33f0bc083cd2e9c543c4631d5690b	51	81	88	0.5795454545454546	0.9204545454545454
440	25a5ddd58e1b7af731e179e2f98ed42f	682ee02d38c947defb4cf5e30fba6f96	70	70	101	0.693069306930693	0.693069306930693
441	25a5ddd58e1b7af731e179e2f98ed42f	745fd2a3e78aaceb805e7bc19cf5f126	4	4	10	0.4	0.4
442	25a5ddd58e1b7af731e179e2f98ed42f	a0a99aa6dcb9947e8501d3c17e89cf01	0	0	0		
443	25a5ddd58e1b7af731e179e2f98ed42f	d32d7f7ead681a3c45ac0401b025169b	72	85	112	0.6428571428571429	0.7589285714285714
444	25a5ddd58e1b7af731e179e2f98ed42f	24e7fa348c6b922fe075358bdabc0b29	0	0	0		
445	25a5ddd58e1b7af731e179e2f98ed42f	d1159a16ddc833d8787756a5b90b9141	0	0	0		
446	25a5ddd58e1b7af731e179e2f98ed42f	df04a338c0749cef4022674be6803411	4	4	10	0.4	0.4
447	25a5ddd58e1b7af731e179e2f98ed42f	f53d9aa67d5fed6677cf8d57a4707485	0	0	0		
448	25a5ddd58e1b7af731e179e2f98ed42f	01e5ad8b6847aa68c70fe1acc54a884d	0	0	0		
449	25a5ddd58e1b7af731e179e2f98ed42f	3d784b11288b827cbd97d6dbcd6602ec	4	4	10	0.4	0.4
490	27caeb326b241334bfb308787974f959	5a634567f5022bf46e1c990096fceb9f	0	0	0		
491	27caeb326b241334bfb308787974f959	59c61598abe68e36e2a0f6b24f5344a9	13	11	18	0.7222222222222222	0.6111111111111112
492	27caeb326b241334bfb308787974f959	255fe2a8be0ed5c06dd99969ab4fea55	11	8	8	1.375	1.0
493	27caeb326b241334bfb308787974f959	94e99d76e87ee926faab66d382b3a955	0	0	0		
494	27caeb326b241334bfb308787974f959	52c6125836c465f4ac5232121dacb49d	32	30	37	0.8648648648648649	0.8108108108108109
495	27caeb326b241334bfb308787974f959	ff59dc439c6c323320bc355afe884fcb	68	67	102	0.6666666666666666	0.6568627450980392
496	27caeb326b241334bfb308787974f959	ade82b71d52bf8ebd00f724b25c87e95	49	53	73	0.6712328767123288	0.726027397260274
497	27caeb326b241334bfb308787974f959	7a1c1f680a11456d505f05fa70712213	88	95	128	0.6875	0.7421875
498	27caeb326b241334bfb308787974f959	ffc3716da11461d5337f42c2e9590797	35	44	50	0.7	0.88
499	27caeb326b241334bfb308787974f959	16d76c912992709c8be29b896b8f9417	80	89	119	0.6722689075630253	0.7478991596638656
500	27caeb326b241334bfb308787974f959	3626b893fc73a5cbd67d1ea48a5c7039	101	89	138	0.7318840579710145	0.644927536231884
